"Ch 0 - Voltage_0_x","Ch 0 - Voltage_0_y"
0.2165,0.6103515625,
0.217,0.673828125,
0.2175,0.771484375,
0.218,0.9130859375,
0.2185,0.7080078125,
0.219,0.0732421875,
0.2195,-0.5615234375,
0.22,-0.869140625,
0.2205,-1.025390625,
0.221,-1.284179688,
0.2215,-1.455078125,
0.222,-1.352539062,
0.2225,-1.240234375,
0.223,-1.220703125,
0.2235,-1.000976562,
0.224,-0.556640625,
0.2245,-0.2587890625,
0.225,-0.234375,
0.2255,-0.2001953125,
0.226,-0.0244140625,
0.2265,0.0439453125,
0.227,-0.087890625,
0.2275,-0.21484375,
0.228,-0.2978515625,
0.2285,-0.5908203125,
0.229,-0.947265625,
0.2295,-0.888671875,
0.23,-0.4150390625,
0.2305,0.029296875,
0.231,0.2783203125,
0.2315,0.5078125,
0.232,0.7958984375,
0.2325,0.986328125,
0.233,1.11328125,
0.2335,1.328125,
0.234,1.420898438,
0.2345,1.098632812,
0.235,0.5908203125,
0.2355,0.3759765625,
0.236,0.3466796875,
0.2365,0.1318359375,
0.237,-0.2783203125,
0.2375,-0.615234375,
0.238,-0.751953125,
0.2385,-0.7568359375,
0.239,-0.546875,
0.2395,-0.1025390625,
0.24,0.205078125,
0.2405,0.0830078125,
0.241,-0.13671875,
0.2415,-0.0830078125,
0.242,0.048828125,
0.2425,-0.0341796875,
0.243,-0.302734375,
0.2435,-0.5419921875,
0.244,-0.7568359375,
0.2445,-0.986328125,
0.245,-1.040039062,
0.2455,-0.8447265625,
0.246,-0.7080078125,
0.2465,-0.751953125,
0.247,-0.6298828125,
0.2475,-0.1318359375,
0.248,0.4443359375,
0.2485,0.8544921875,
0.249,1.123046875,
0.2495,1.303710938,
0.25,1.264648438,
0.2505,1.010742188,
0.251,0.849609375,
0.2515,0.87890625,
0.252,0.78125,
0.2525,0.458984375,
0.253,0.2294921875,
0.2535,0.1953125,
0.254,0.2099609375,
0.2545,0.2392578125,
0.255,0.419921875,
0.2555,0.6640625,
0.256,0.732421875,
0.2565,0.654296875,
0.257,0.7275390625,
0.2575,0.9423828125,
0.258,0.9033203125,
0.2585,0.5322265625,
0.259,0.087890625,
0.2595,-0.3173828125,
0.26,-0.7080078125,
0.2605,-0.9375,
0.261,-0.9130859375,
0.2615,-0.8349609375,
0.262,-0.95703125,
0.2625,-1.127929688,
0.263,-0.95703125,
0.2635,-0.517578125,
0.264,-0.1611328125,
0.2645,0.0244140625,
0.265,0.1904296875,
0.2655,0.2978515625,
0.266,0.322265625,
0.2665,0.390625,
0.267,0.52734375,
0.2675,0.4833984375,
0.268,0.1171875,
0.2685,-0.2734375,
0.269,-0.2978515625,
0.2695,-0.05859375,
0.27,0.1416015625,
0.2705,0.3076171875,
0.271,0.5029296875,
0.2715,0.64453125,
0.272,0.7373046875,
0.2725,0.95703125,
0.273,1.274414062,
0.2735,1.396484375,
0.274,1.157226562,
0.2745,0.8154296875,
0.275,0.6103515625,
0.2755,0.400390625,
0.276,0.0537109375,
0.2765,-0.2880859375,
0.277,-0.556640625,
0.2775,-0.8447265625,
0.278,-1.064453125,
0.2785,-0.9912109375,
0.279,-0.6689453125,
0.2795,-0.4052734375,
0.28,-0.3662109375,
0.2805,-0.3759765625,
0.281,-0.3076171875,
0.2815,-0.2978515625,
0.282,-0.341796875,
0.2825,-0.322265625,
0.283,-0.341796875,
0.2835,-0.5859375,
0.284,-0.91796875,
0.2845,-1.049804688,
0.285,-0.9375,
0.2855,-0.8203125,
0.286,-0.78125,
