x0004,y0004,x0005,y0005,x0018,y0018,x0019,y0019
47.60742188,1.555758464,47.60742188,1.688570534,47.60742188,1.940126476,48.828125,2.211319859,
47.8515625,1.587488627,47.8515625,1.714096627,47.8515625,1.975310622,49.07226562,2.251206457,
48.09570312,1.622292525,48.09570312,1.734919984,48.09570312,2.010352134,49.31640625,2.295104634,
48.33984375,1.659633585,48.33984375,1.76120166,48.33984375,2.05409179,49.56054688,2.343923667,
48.58398438,1.697369412,48.58398438,1.79104808,48.58398438,2.093217688,49.8046875,2.398919091,
48.828125,1.738862482,48.828125,1.818406472,48.828125,2.139313397,50.04882812,2.461894149,
49.07226562,1.783967085,49.07226562,1.857759514,49.07226562,2.184338638,50.29296875,2.535572733,
49.31640625,1.833289266,49.31640625,1.895578468,49.31640625,2.236811631,50.53710938,2.624355071,
49.56054688,1.886877471,49.56054688,1.941623596,49.56054688,2.291520509,50.78125,2.736049557,
49.8046875,1.94828868,49.8046875,1.997018121,49.8046875,2.35336306,51.02539062,2.886621185,
50.04882812,2.016340182,50.04882812,2.063053844,50.04882812,2.423540903,51.26953125,3.117594311,
50.29296875,2.095437566,50.29296875,2.144560315,50.29296875,2.505425967,51.51367188,3.602291032,
50.53710938,2.189410959,50.53710938,2.250030974,50.53710938,2.601408368,51.7578125,3.444012346,
50.78125,2.306395013,50.78125,2.39097515,50.78125,2.720615241,52.00195312,3.052487629,
51.02539062,2.461915387,51.02539062,2.595321839,51.02539062,2.877316989,52.24609375,2.845933161,
51.26953125,2.697431578,51.26953125,2.93809822,51.26953125,3.114092904,52.49023438,2.705812393,
51.51367188,3.180362321,51.51367188,3.746449457,51.51367188,3.597726566,52.734375,2.599710959,
51.7578125,3.035640137,51.7578125,3.181308472,51.7578125,3.45587412,52.97851562,2.5142809,
52.00195312,2.645954507,52.00195312,1.937415825,52.00195312,3.065158834,53.22265625,2.442738907,
52.24609375,2.44425143,52.24609375,1.451068926,52.24609375,2.8657744,53.46679688,2.381167224,
52.49023438,2.308865898,52.49023438,1.63403857,52.49023438,2.731311604,53.7109375,2.327098512,
52.734375,2.20733542,52.734375,1.628874836,52.734375,2.630064,53.95507812,2.278878382,
52.97851562,2.126454604,52.97851562,1.589273173,52.97851562,2.550208886,54.19921875,2.235343503,
53.22265625,2.059522823,53.22265625,1.52815858,53.22265625,2.483642198,54.44335938,2.1956447,
53.46679688,2.002452112,53.46679688,1.473397063,53.46679688,2.427490022,54.6875,2.159143127,
53.7109375,1.953596849,53.7109375,1.417399056,53.7109375,2.379363668,54.93164062,2.125346071,
53.95507812,1.909948254,53.95507812,1.35225154,53.95507812,2.335414225,55.17578125,2.093865508,
54.19921875,1.871364092,54.19921875,1.3001455,54.19921875,2.297340427,55.41992188,2.064390376,
54.44335938,1.835760584,54.44335938,1.245148687,54.44335938,2.263882811,55.6640625,2.036667459,
54.6875,1.804201461,54.6875,1.179337121,54.6875,2.230886814,55.90820312,2.010487858,
54.93164062,1.774239797,54.93164062,1.139834405,54.93164062,2.20247484,56.15234375,1.9856772,
55.17578125,1.746868678,55.17578125,1.078946987,55.17578125,2.175318292,56.39648438,1.962088402,
55.41992188,1.722662451,55.41992188,1.03777051,55.41992188,2.151690011,56.640625,1.939596243,
55.6640625,1.699351607,55.6640625,1.008621441,55.6640625,2.128613237,56.88476562,1.918093214,
55.90820312,1.676568339,55.90820312,0.9193819126,55.90820312,2.108135781,57.12890625,1.897486315,
