,abscissa_spec_data_type,excitation_type,field_type,func_type,measurement_id,model_id,orddenom_spec_data_type,ordinate_spec_data_type,ref_dir,ref_node,rsp_dir,rsp_node,uffid,zero_padding
74,18.0,impulse,,4.0,74.0,0.0,13.0,12.0,3.0,13.0,3.0,27.0,,0.0
75,18.0,impulse,,4.0,75.0,0.0,13.0,12.0,3.0,13.0,3.0,28.0,,0.0
76,18.0,impulse,,4.0,76.0,0.0,13.0,12.0,3.0,13.0,3.0,29.0,,0.0
77,18.0,impulse,,4.0,77.0,0.0,13.0,12.0,3.0,13.0,3.0,30.0,,0.0
78,18.0,impulse,,4.0,78.0,0.0,13.0,12.0,3.0,13.0,3.0,31.0,,0.0
79,18.0,impulse,,4.0,79.0,0.0,13.0,12.0,3.0,13.0,3.0,32.0,,0.0
80,18.0,impulse,,4.0,80.0,0.0,13.0,12.0,3.0,13.0,3.0,33.0,,0.0
81,18.0,impulse,,4.0,81.0,0.0,13.0,12.0,3.0,13.0,3.0,34.0,,0.0
82,18.0,impulse,,4.0,82.0,0.0,13.0,12.0,3.0,13.0,3.0,35.0,,0.0
83,18.0,impulse,,4.0,83.0,0.0,13.0,12.0,3.0,13.0,3.0,36.0,,0.0
84,18.0,impulse,,4.0,84.0,0.0,13.0,12.0,3.0,13.0,3.0,37.0,,0.0
85,18.0,impulse,,4.0,85.0,0.0,13.0,12.0,3.0,13.0,3.0,38.0,,0.0
86,18.0,impulse,,4.0,86.0,0.0,13.0,12.0,3.0,13.0,3.0,39.0,,0.0
87,18.0,impulse,,4.0,87.0,0.0,13.0,12.0,3.0,13.0,3.0,40.0,,0.0
88,18.0,impulse,,4.0,88.0,0.0,13.0,12.0,3.0,13.0,3.0,41.0,,0.0
89,18.0,impulse,,4.0,89.0,0.0,13.0,12.0,3.0,13.0,3.0,42.0,,0.0
90,18.0,impulse,,4.0,90.0,0.0,13.0,12.0,3.0,13.0,3.0,43.0,,0.0
91,18.0,impulse,,4.0,91.0,0.0,13.0,12.0,3.0,13.0,3.0,44.0,,0.0
92,18.0,impulse,,4.0,92.0,0.0,13.0,12.0,3.0,13.0,3.0,45.0,,0.0
93,18.0,impulse,,4.0,93.0,0.0,13.0,12.0,3.0,13.0,3.0,46.0,,0.0
94,18.0,impulse,,4.0,94.0,0.0,13.0,12.0,3.0,13.0,3.0,47.0,,0.0
95,18.0,impulse,,4.0,95.0,0.0,13.0,12.0,3.0,13.0,3.0,48.0,,0.0
